Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating,Reason(s) for downgrading
CBM-A:CBM-I,1,Some concerns,Some concerns,No concerns,Some concerns,Some concerns,Major concerns,Low,"Incoherence,"
CBM-A:Combined control,1,Some concerns,Low risk,No concerns,Some concerns,Some concerns,Major concerns,Low,"Incoherence,"
CBM-A:Control CBM-A,19,Some concerns,Some concerns,No concerns,Some concerns,Some concerns,Some concerns,Moderate,"Within-study bias, Reporting bias, Imprecision, Heterogeneity, Incoherence,"
CBM-A:Multicomponent,1,Some concerns,Some concerns,No concerns,No concerns,Major concerns,Major concerns,Very low,"Heterogeneity, Incoherence,"
CBM-A:Opposite CBM-A,4,Some concerns,Some concerns,No concerns,Major concerns,No concerns,No concerns,Low,"Imprecision,"
CBM-A:Waitlist,1,Some concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low,"Heterogeneity,"
CBM-I:Combined control,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"Imprecision,"
CBM-I:Control CBM-I,7,Some concerns,Some concerns,No concerns,No concerns,Major concerns,Major concerns,Very low,"Within-study bias, Reporting bias, Heterogeneity, Incoherence,"
CBM-I:Multicomponent,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low,"Within-study bias, Imprecision, Incoherence,"
CBM-I:Opposite CBM-I,1,Some concerns,Some concerns,No concerns,Major concerns,No concerns,Major concerns,Very low,"Within-study bias, Reporting bias, Imprecision, Incoherence,"
CBM-I:TAU,2,Major concerns,Low risk,No concerns,Some concerns,Some concerns,Major concerns,Very low,"Within-study bias, Imprecision, Heterogeneity, Incoherence,"
CBM-I:Waitlist,5,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"Imprecision,"
Combined control:Multicomponent,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low,"Within-study bias, Imprecision, Incoherence,"
Control CBM-A:Multicomponent,1,Some concerns,Some concerns,No concerns,Some concerns,Some concerns,Major concerns,Low,"Incoherence,"
Control CBM-A:Opposite CBM-A,3,Some concerns,Some concerns,No concerns,Major concerns,No concerns,No concerns,Moderate,"Imprecision,"
Control CBM-A:Waitlist,1,Some concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Moderate,"Within-study bias, Imprecision, Heterogeneity,"
CBM-A:Control CBM-I,0,Some concerns,Low risk,No concerns,No concerns,Some concerns,Major concerns,Low,"Incoherence,"
CBM-A:Opposite CBM-I,0,Some concerns,Low risk,No concerns,No concerns,Major concerns,Major concerns,Very low,"Within-study bias, Heterogeneity, Incoherence,"
CBM-A:TAU,0,Some concerns,Low risk,No concerns,No concerns,Major concerns,Major concerns,Very low,"Within-study bias, Heterogeneity, Incoherence,"
