studlab,node,endpoint_n,endpoint_mean,endpoint_sd,id_val
Amir (2009),CBM-A,22,46.1,16.6,1
Amir (2009),Control CBM-A,22,60,18.2,1
Amir (2012),Control CBM-I,26,67.6,26.2,2
Amir (2012),CBM-I,23,50.2,19.3,2
Azriel (2024),Control CBM-A,25,48.76,19,3
Azriel (2024),CBM-A,25,53.8,15.74,3
Beard (2008),Control CBM-I,14,114.29,29.62,4
Beard (2008),CBM-I,13,88,33.98,4
Boettcher (2012),CBM-A,33,35.97,15.015,5
Boettcher (2012),Control CBM-A,35,28.26,16.53,5
Boettcher (2013),CBM-A,41,38.465,15.145,6
Boettcher (2013),Control CBM-A,41,31.55,16.78,6
Boettcher (2013),Opposite CBM-A,41,28.8,12.33,6
Bowler (2012),CBM-I,21,26.43,15.04,7
Bowler (2012),Waitlist,21,33.57,15.71,7
Britton (2015),CBM-A,15,42.9,22.5,8
Britton (2015),Control CBM-A,15,49.4,23.6,8
Carlbring (2012),CBM-A,40,66,35.5,9
Carlbring (2012),Control CBM-A,39,60.5,35.6,9
Carleton (2015),CBM-A,42,28.548571428571428,11.025493423265956,10
Carleton (2015),Control CBM-A,48.75,29.057692307692307,11.058701712600092,10
Carleton (2017),CBM-A,45,30.86,12.18,11
Carleton (2017),Control CBM-A,43,28.58,12.74,11
Choi (2024),CBM-I,37,43,14.91,12
Choi (2024),Control CBM-I,32,43.81,13.55,12
Daniel (2020),TAU,55,34.64,13.54,13
Daniel (2020),CBM-I,51,33.37,13.22,13
Fadardi (2023),CBM-A,15,27.6,7.25,14
Fadardi (2023),Control CBM-A,15,28.93,7.88,14
Khalili-Torghabeh (2014),Control CBM-I,17,24.62,4.965,15
Khalili-Torghabeh (2014),CBM-I,18,17.14,6.07,15
Koc (2021),Control CBM-A,32,90.31,20.09,16
Koc (2021),Multicomponent,33,79.45,13.81,16
Li (2008),CBM-A,12,41.08,10.91,17
Li (2008),Control CBM-A,10,43.8,9.2,17
Li (2024),CBM-A,28,32.54,15.24,18
Li (2024),Control CBM-A,29,39.76,13.89,18
Li (2024),Opposite CBM-A,29,38.83,15.47,18
Liang (2016),CBM-A,36,24.700000000000003,12.568270707278254,19
Liang (2016),Control CBM-A,36,31.550000000000004,14.885640252078032,19
Liu (2024),CBM-A,31,41.87,12.35,20
Liu (2024),Control CBM-A,31,49.94,14.91,20
Ma (2020),CBM-A,47,56.44468085106383,23.912234120985,21
Ma (2020),Opposite CBM-A,47,52.921063829787236,25.14789231673498,21
Mao (2023),CBM-I,14,33.79,11.137,22
Mao (2023),Waitlist,14,44.36,12.201,22
Maoz (2013),CBM-A,24,53.63,16.88,23
Maoz (2013),Control CBM-A,26,54.62,21.28,23
McNally (2013),CBM-A,20,68.8,29.9,24
McNally (2013),Control CBM-A,18,59.4,26.3,24
McNally (2013),Opposite CBM-A,19,70.3,42.6,24
Mobini (2014),CBM-I,38,23.325,3.5346514412047494,25
Mobini (2014),Control CBM-I,19,23.56,5.03,25
Naim (2018),CBM-A,20,52.3,5.16,26
Naim (2018),Combined control,20,61.26,3.65,26
Naim (2018),CBM-I,21,59.45,3.96,26
Naim (2018),Multicomponent,21,64.35,3.56,26
Neubauer (2013),CBM-A,24,33.29,14.27,27
Neubauer (2013),Control CBM-A,24,33.04,13.81,27
Nowakowski (2015),Control CBM-I,24,40.21,12.54,28
Nowakowski (2015),CBM-I,24,41.17,9.81,28
Orchard (2017),CBM-I,29,4.97,1.09,29
Orchard (2017),Waitlist,27,4.3,1.59,29
Pan (2019),CBM-A,20,45.25,13.73,30
Pan (2019),Control CBM-A,20,49.3,12.46,30
Pan (2019),Waitlist,23,56,11.83,30
Reyes (2020),CBM-I,21,10.52,5.92,31
Reyes (2020),Opposite CBM-I,21,16.24,9.73,31
Shafiei (2019),CBM-A,16,92.42,12.22,32
Shafiei (2019),Control CBM-A,16,101.63,11.58,32
Sun (2019),Control CBM-I,19,47.19,20.17,33
Sun (2019),CBM-I,19,36.16,10.7,33
Terashima (2024a),CBM-I,20,46.05,8.95,34
Terashima (2024a),Waitlist,18,47.29,8.35,34
Terashima (2024b),CBM-I,34,71.38,24.41,35
Terashima (2024b),Waitlist,21,75.29,21.01,35
Vassilopoulos (2009),CBM-I,22,16.73,3.99,36
Vassilopoulos (2009),TAU,21,20.86,4.04,36
Yao (2015),CBM-A,23,45.83,12.46,37
Yao (2015),Control CBM-A,45,43.75955555555555,11.227232913273372,37
de Rutte (2025),CBM-A,54,58.62,28.56,38
de Rutte (2025),Control CBM-A,50,64.19,28.59,38
Lam (2025),CBM-I,28,34.36,10.72,39
Lam (2025),Control CBM-I,30,38.7,11.81,39
