id,study,t,n,mean,sd
1,Amir (2009),CBM-A,22,46.1,16.6
1,Amir (2009),Control CBM-A,22,60,18.2
2,Amir (2012),Control CBM-I,26,67.6,26.2
2,Amir (2012),CBM-I,23,50.2,19.3
3,Azriel (2024),Control CBM-A,25,48.76,19
3,Azriel (2024),CBM-A,25,53.8,15.74
4,Boettcher (2012),CBM-A,33,35.97,15.015
4,Boettcher (2012),Control CBM-A,35,28.26,16.53
5,Boettcher (2013),CBM-A,41,38.465,15.145
5,Boettcher (2013),Control CBM-A,41,31.55,16.78
5,Boettcher (2013),Opposite CBM-A,41,28.8,12.33
6,Bowler (2012),CBM-I,21,26.43,15.04
6,Bowler (2012),Waitlist,21,33.57,15.71
7,Britton (2015),CBM-A,15,42.9,22.5
7,Britton (2015),Control CBM-A,15,49.4,23.6
8,Carlbring (2012),CBM-A,40,66,35.5
8,Carlbring (2012),Control CBM-A,39,60.5,35.6
9,Carleton (2015),CBM-A,42,28.54857143,11.02549342
9,Carleton (2015),Control CBM-A,48.75,29.05769231,11.05870171
10,Carleton (2017),CBM-A,45,30.86,12.18
10,Carleton (2017),Control CBM-A,43,28.58,12.74
11,Choi (2024),CBM-I,37,43,14.91
11,Choi (2024),Control CBM-I,32,43.81,13.55
12,Daniel (2020),TAU,55,34.64,13.54
12,Daniel (2020),CBM-I,51,33.37,13.22
13,Fadardi (2023),CBM-A,15,27.6,7.25
13,Fadardi (2023),Control CBM-A,15,28.93,7.88
14,Khalili-Torghabeh (2014),Control CBM-I,17,24.62,4.965
14,Khalili-Torghabeh (2014),CBM-I,18,17.14,6.07
15,Koc (2021),Control CBM-A,32,90.31,20.09
15,Koc (2021),Multicomponent,33,79.45,13.81
16,Li (2008),CBM-A,12,41.08,10.91
16,Li (2008),Control CBM-A,10,43.8,9.2
17,Li (2024),CBM-A,28,32.54,15.24
17,Li (2024),Control CBM-A,29,39.76,13.89
17,Li (2024),Opposite CBM-A,29,38.83,15.47
18,Liang (2016),CBM-A,36,24.7,12.56827071
18,Liang (2016),Control CBM-A,36,31.55,14.88564025
19,Ma (2020),CBM-A,47,56.44468085,23.91223412
19,Ma (2020),Opposite CBM-A,47,52.92106383,25.14789232
20,Mao (2023),CBM-I,14,33.79,11.137
20,Mao (2023),Waitlist,14,44.36,12.201
21,Maoz (2013),CBM-A,24,53.63,16.88
21,Maoz (2013),Control CBM-A,26,54.62,21.28
22,McNally (2013),CBM-A,20,68.8,29.9
22,McNally (2013),Control CBM-A,18,59.4,26.3
22,McNally (2013),Opposite CBM-A,19,70.3,42.6
23,Mobini (2014),CBM-I,38,23.325,3.534651441
23,Mobini (2014),Control CBM-I,19,23.56,5.03
24,Naim (2018),CBM-A,20,52.3,5.16
24,Naim (2018),Combined control,20,61.26,3.65
24,Naim (2018),CBM-I,21,59.45,3.96
24,Naim (2018),Multicomponent,21,64.35,3.56
25,Neubauer (2013),CBM-A,24,33.29,14.27
25,Neubauer (2013),Control CBM-A,24,33.04,13.81
26,Nowakowski (2015),Control CBM-I,24,40.21,12.54
26,Nowakowski (2015),CBM-I,24,41.17,9.81
27,Orchard (2017),CBM-I,29,4.97,1.09
27,Orchard (2017),Waitlist,27,4.3,1.59
28,Pan (2019),CBM-A,20,45.25,13.73
28,Pan (2019),Control CBM-A,20,49.3,12.46
28,Pan (2019),Waitlist,23,56,11.83
29,Reyes (2020),CBM-I,21,10.52,5.92
29,Reyes (2020),Opposite CBM-I,21,16.24,9.73
30,Shafiei (2019),CBM-A,16,92.42,12.22
30,Shafiei (2019),Control CBM-A,16,101.63,11.58
31,Sun (2019),Control CBM-I,19,47.19,20.17
31,Sun (2019),CBM-I,19,36.16,10.7
32,Terashima (2024a),CBM-I,20,46.05,8.95
32,Terashima (2024a),Waitlist,18,47.29,8.35
33,Terashima (2024b),CBM-I,34,71.38,24.41
33,Terashima (2024b),Waitlist,21,75.29,21.01
34,Vassilopoulos (2009),CBM-I,22,16.73,3.99
34,Vassilopoulos (2009),TAU,21,20.86,4.04
35,Yao (2015),CBM-A,23,45.83,12.46
35,Yao (2015),Control CBM-A,45,43.75955556,11.22723291
36,de Rutte (2025),CBM-A,54,58.62,28.56
36,de Rutte (2025),Control CBM-A,50,64.19,28.59
37,Lam (2025),CBM-I,28,34.36,10.72
37,Lam (2025),Control CBM-I,30,38.7,11.81
38,Beard (2008),Control CBM-I,14,NA,NA
38,Beard (2008),CBM-I,13,NA,NA
39,Fitzgerald (2016),CBM-A,61,NA,NA
39,Fitzgerald (2016),Control CBM-A,59,NA,NA
40,Frommelt (2023),Control CBM-I,11,NA,NA
40,Frommelt (2023),CBM-I,10,NA,NA
41,Heeren (2015),CBM-A,22,NA,NA
41,Heeren (2015),Control CBM-A,18,NA,NA
41,Heeren (2015),Opposite CBM-A,21,NA,NA
42,Klumpp (2010),CBM-A,34,NA,NA
42,Klumpp (2010),Control CBM-A,22,NA,NA
42,Klumpp (2010),Opposite CBM-A,31,NA,NA
43,Liu (2024),CBM-A,31,NA,NA
43,Liu (2024),Control CBM-A,31,AN,NA
44,Murphy (2007),CBM-I,44,NA,NA
44,Murphy (2007),Control CBM-I,22,NA,NA
45,Neophytou (2022),CBM-A,32,NA,NA
45,Neophytou (2022),Control CBM-A,28,NA,NA
46,Ollendick (2019),CBM-A,29,NA,NA
46,Ollendick (2019),Control CBM-A,29,NA,NA
47,Pergamin-Hight (2016),CBM-A,31,NA,NA
47,Pergamin-Hight (2016),Control CBM-A,36,NA,NA
48,Podina (2020),Control CBM-I,69,NA,NA
48,Podina (2020),CBM-I,71,NA,NA
49,Ran (2022),CBM-A,24,NA,NA
49,Ran (2022),Control CBM-A,24,NA,NA
50,Sportel (2013),Multicomponent,86,NA,NA
50,Sportel (2013),Waitlist,84,NA,NA
51,Taylor (2011),CBM-A,43,NA,NA
51,Taylor (2011),Control CBM-A,34,NA,NA
52,Yang (2017),CBM-A,20,NA,NA
52,Yang (2017),Multicomponent,16,NA,NA
52,Yang (2017),Combined control,20,NA,NA
52,Yang (2017),CBM-I,20,NA,NA
53,Yeung (2019),CBM-A,30,NA,NA
53,Yeung (2019),Combined control,32,NA,NA
53,Yeung (2019),CBM-I,28,NA,NA
53,Yeung (2019),Multicomponent,26,NA,NA
