.,CBM-A,CBM-I,Combined control,Control CBM-A,Control CBM-I,Multicomponent,Opposite CBM-A,TAU,Waitlist
CBM-A,CBM-A,-0.54 [-1.39; 0.31],-0.01 [-0.69; 0.67],-0.33 [-0.70; 0.04],NA,-0.16 [-0.84; 0.53],-0.21 [-1.03; 0.61],NA,NA
CBM-I,"-0.41 [-1.16; 0.33], [-1.74; 0.92]",CBM-I,0.45 [-0.40; 1.30],NA,-0.72 [-1.14; -0.29],0.17 [-0.68; 1.02],NA,-0.56 [-1.76; 0.63],0.09 [-0.50; 0.68]
Combined control,"-0.01 [-0.69; 0.67], [-1.30; 1.28]","0.41 [-0.34; 1.15], [-0.93; 1.74]",Combined control,NA,NA,-0.15 [-0.83; 0.54],NA,NA,NA
Control CBM-A,"-0.33 [-0.70; 0.05], [-1.47; 0.82]","0.08 [-0.75; 0.92], [-1.30; 1.47]","-0.32 [-1.10; 0.46], [-1.67; 1.03]",Control CBM-A,NA,NA,0.16 [-0.66; 0.98],NA,NA
Control CBM-I,"-1.13 [-1.99; -0.27], [-2.54; 0.27]","-0.72 [-1.14; -0.29], [-1.88; 0.45]","-1.12 [-1.98; -0.26], [-2.53; 0.28]","-0.80 [-1.74; 0.14], [-2.26; 0.65]",Control CBM-I,NA,NA,NA,NA
Multicomponent,"-0.17 [-0.83; 0.50], [-1.45; 1.12]","0.25 [-0.42; 0.92], [-1.04; 1.53]","-0.16 [-0.82; 0.51], [-1.44; 1.12]","0.16 [-0.60; 0.93], [-1.18; 1.50]","0.97 [0.17; 1.76], [-0.39; 2.32]",Multicomponent,NA,NA,-0.07 [-1.14; 1.00]
Opposite CBM-A,"-0.19 [-0.92; 0.55], [-1.51; 1.13]","0.23 [-0.82; 1.27], [-1.31; 1.76]","-0.18 [-1.18; 0.82], [-1.68; 1.32]","0.14 [-0.59; 0.88], [-1.18; 1.46]","0.94 [-0.19; 2.08], [-0.66; 2.55]","-0.02 [-1.01; 0.97], [-1.52; 1.47]",Opposite CBM-A,NA,NA
TAU,"-0.98 [-2.39; 0.43], [-2.80; 0.85]","-0.56 [-1.76; 0.63], [-2.21; 1.08]","-0.97 [-2.38; 0.44], [-2.80; 0.86]","-0.65 [-2.11; 0.81], [-2.52; 1.22]","0.15 [-1.11; 1.42], [-1.55; 1.86]","-0.81 [-2.18; 0.55], [-2.60; 0.98]","-0.79 [-2.38; 0.80], [-2.77; 1.19]",TAU,NA
Waitlist,"-0.30 [-1.15; 0.55], [-1.70; 1.09]","0.11 [-0.43; 0.65], [-1.10; 1.33]","-0.29 [-1.14; 0.55], [-1.69; 1.10]","0.03 [-0.90; 0.96], [-1.42; 1.48]","0.83 [0.14; 1.52], [-0.46; 2.13]","-0.13 [-0.86; 0.59], [-1.45; 1.18]","-0.11 [-1.24; 1.01], [-1.71; 1.48]","0.68 [-0.63; 1.99], [-1.07; 2.42]",Waitlist
