.,CBM-A,CBM-I,Combined control,Control CBM-A,Control CBM-I,Multicomponent,Opposite CBM-A,Opposite CBM-I,TAU,Waitlist
CBM-A,CBM-A,-1.73 [-2.84; -0.63],-2.17 [-3.30; -1.04],-0.10 [-0.34; 0.13],NA,-2.92 [-4.09; -1.76],0.10 [-0.41; 0.60],NA,NA,-0.85 [-1.93; 0.23]
CBM-I,"-0.66 [-1.39; 0.07], [-1.85; 0.52]",CBM-I,-0.44 [-1.51; 0.64],NA,-0.47 [-0.84; -0.09],-1.19 [-2.27; -0.10],NA,-0.71 [-1.79; 0.37],-0.50 [-1.22; 0.22],-0.20 [-0.68; 0.28]
Combined control,"-1.10 [-2.08; -0.12], [-2.47; 0.26]","-0.44 [-1.44; 0.56], [-1.82; 0.94]",Combined control,NA,NA,-0.75 [-1.83; 0.33],NA,NA,NA,NA
Control CBM-A,"-0.18 [-0.41; 0.05], [-1.12; 0.76]","0.48 [-0.26; 1.22], [-0.71; 1.67]","0.92 [-0.06; 1.91], [-0.45; 2.29]",Control CBM-A,NA,0.63 [-0.38; 1.64],-0.01 [-0.60; 0.59],NA,NA,-0.53 [-1.60; 0.54]
Control CBM-I,"-1.13 [-1.95; -0.30], [-2.38; 0.12]","-0.47 [-0.84; -0.09], [-1.46; 0.53]","-0.02 [-1.10; 1.05], [-1.46; 1.41]","-0.95 [-1.78; -0.12], [-2.20; 0.31]",Control CBM-I,NA,NA,NA,NA,NA
Multicomponent,"-0.98 [-1.73; -0.23], [-2.18; 0.22]","-0.32 [-1.19; 0.55], [-1.60; 0.96]","0.12 [-0.87; 1.12], [-1.25; 1.50]","-0.80 [-1.54; -0.06], [-1.99; 0.39]","0.15 [-0.80; 1.10], [-1.19; 1.49]",Multicomponent,NA,NA,NA,NA
Opposite CBM-A,"-0.01 [-0.47; 0.45], [-1.04; 1.02]","0.65 [-0.20; 1.51], [-0.62; 1.93]","1.09 [0.02; 2.17], [-0.35; 2.53]","0.17 [-0.31; 0.65], [-0.87; 1.21]","1.12 [0.18; 2.05], [-0.21; 2.45]","0.97 [0.10; 1.84], [-0.31; 2.25]",Opposite CBM-A,NA,NA,NA
Opposite CBM-I,"-1.37 [-2.68; -0.07], [-3.00; 0.26]","-0.71 [-1.79; 0.37], [-2.15; 0.73]","-0.27 [-1.74; 1.20], [-2.05; 1.51]","-1.19 [-2.50; 0.12], [-2.83; 0.44]","-0.25 [-1.39; 0.90], [-1.74; 1.25]","-0.39 [-1.78; 0.99], [-2.09; 1.31]","-1.36 [-2.74; 0.02], [-3.06; 0.33]",Opposite CBM-I,NA,NA
TAU,"-1.17 [-2.19; -0.14], [-2.57; 0.23]","-0.50 [-1.22; 0.22], [-1.68; 0.67]","-0.06 [-1.30; 1.17], [-1.63; 1.51]","-0.99 [-2.02; 0.04], [-2.39; 0.42]","-0.04 [-0.85; 0.77], [-1.28; 1.20]","-0.19 [-1.32; 0.94], [-1.67; 1.30]","-1.16 [-2.28; -0.04], [-2.63; 0.32]","0.21 [-1.09; 1.50], [-1.42; 1.83]",TAU,NA
Waitlist,"-0.85 [-1.57; -0.12], [-2.02; 0.33]","-0.18 [-0.64; 0.27], [-1.21; 0.84]","0.26 [-0.79; 1.30], [-1.16; 1.67]","-0.67 [-1.39; 0.06], [-1.85; 0.52]","0.28 [-0.31; 0.87], [-0.82; 1.38]","0.13 [-0.76; 1.03], [-1.17; 1.44]","-0.84 [-1.68; 0.01], [-2.10; 0.43]","0.53 [-0.65; 1.70], [-0.99; 2.04]","0.32 [-0.53; 1.17], [-0.95; 1.59]",Waitlist
